,Project ID,Project Name,Country,Other Countries Involved,Methodology,Project Size,Investment Analysis Option,Barrier Analysis,Emission Factor Data Vintage,Emission Factor Weights,Validator,Estimated Emission Reductions,Actual Emission Reductions
0,IGES06570,Gansu Zhuoni Niuzi 30MW Hydropower Project,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,DNV-CUK,1605721.5616438356,696212.0
1,IGES06012,Fundão-Santa Clara Energetic Complex Project (FSCECP),Brazil,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.25:0.75,RINA,6644008.0,1613374.0
2,IGES05990,"Baragran Hydro Electric Project, 3.0 MW (being expanded to 4.9 MW)",India,Germany,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,LGAI,486556.0,285756.0
3,IGES05207,Monte Rosa Bagasse Cogeneration Project (MRBCP),Nicaragua,Switzerland,ACM0006;,LARGE,None,done,ex ante,0.25:0.75,ICONTEC,2015387.7342465757,1551453.0
4,IGES05925,PROBIOGAS-JP – João Pessoa Landfill Gas Project,Brazil,United Kingdom of Great Britain and Northern Ireland,ACM0001;,LARGE,Simple Cost Analysis,None,ex ante,0.25:0.75,LGAI,4307282.0,260045.0
5,IGES06135,Jinxiang – Golden Elephant Line 1 N2O Abatement Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0019;,LARGE,None,N2O,N.A.,N.A.,CTI,5183626.000000001,1086111.0
6,IGES06654,Sichuan Erdaoqiao Hydropower Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,CCSC,3215194.2410958908,1962311.0
7,IGES05898,ESTRE Pedreira Landfill Gás Project (EPLGP),Brazil,Switzerland,ACM0001;,LARGE,Simple Cost Analysis,None,ex ante,0.25:0.75,LGAI,10639124.452054795,4221303.0
8,IGES06121,Hubei Hefeng Yanzi Town Baishun Village Taohuashan Hydropower Station,China,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,LGAI,636780.3561643836,156483.0
9,IGES06085,China Shangbao Small Hydropower Project,China,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,LGAI,811125.0,293566.0
10,IGES05539,Central de Resíduos do Recreio Landfill Gas Project (CRRLGP),Brazil,No Additional Countries,ACM0001;,LARGE,Simple Cost Analysis,None,ex ante,0.25:0.75,LGAI,7674516.156164383,3518374.0
11,IGES06013,"2.2 MW hydropower plant in Birsinghpur, Madhya Pradesh of Ascent Hydro Projects Limited (AHPL)",India,Multiple Additional Countries,AMS-ID;,SMALL,None,done,ex ante,0.25:0.75,LGAI,285754.56164383556,157579.0
12,IGES05768,Bio energy in General Deheza –Electricity  generation based on peanut hull and sunflower husk,Argentina,No Additional Countries,AMS-ID;,SMALL,None,done,ex post,0.25:0.75,Earthood,382369.6054794521,235809.0
13,IGES06103,Irani Wastewater Methane Avoidance Project,Brazil,No Additional Countries,AMS-IIII;,SMALL,Investment Comparison Analysis,done,ex ante,0.25:0.75,Earthood,997904.2,348585.0
14,IGES05149,"N2O Emission Reduction in Paulínia, SP, Brazil",Brazil,Multiple Additional Countries,AM0021;,LARGE,None,N2O,N.A.,N.A.,Earthood,114520567.00000001,62321997.0
15,IGES05807,"N2O Emission Reduction in nitric acid plant Paulínia, SP, Brazil",Brazil,Multiple Additional Countries,ACM0019;,LARGE,None,N2O,N.A.,N.A.,Earthood,1417030.5616438354,967257.0
16,IGES06311,2.5 MW Rice husk based cogeneration plant at Hanuman Agro Industries Limited,India,No Additional Countries,AMS-IC;,SMALL,Investment Comparison Analysis,done,ex ante,0.25:0.75,LGAI,712481.0,181984.0
17,IGES05971,Catalytic N2O destruction project in the tail gas of the nitric acid plant PANNA 3 of Enaex S.A.,Chile,Multiple Additional Countries,ACM0019;,LARGE,None,N2O,N.A.,N.A.,TÜV NORD,15098685.0,8305643.0
18,IGES05733,ESTRE Itapevi Landfill Gas Project (EILGP),Brazil,Switzerland,ACM0001;,LARGE,Simple Cost Analysis,None,ex ante,0.25:0.75,LGAI,2267770.832876712,459735.0
19,IGES05894,Jilin Baicheng ChaganHot Wind Power Project,China,Spain,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.75:0.25,CEPREI,1119160.9808219178,221648.0
20,IGES06131,Yunnan Lazhai Hydropower Project,China,Italy,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,CEPREI,7522284.0,2273101.0
21,IGES05467,"Catalytic N2O Abatement Project in the Tail Gas of the Nitric Acid Plant of the Pakarab Fertilizer Ltd (PVT) in Multan, Pakistan",Pakistan,Germany,ACM0019;,LARGE,None,N2O,N.A.,N.A.,TÜV NORD,16545313.071232878,4100082.0
