,Project ID,Project Name,Country,Methodology,Project Size,Estimated Emission Reductions,Actual Emission Reductions
0,VCS_4657,Energy Efficient Stoves Program (EESP) - CER Conversion,Ethiopia,AMS-IIG;,UNKNOWN,139588.0,48426.0
1,VCS_4157,Installation of high efficiency wood burning cookstoves in Tanzania - Project 3,Tanzania,VMR0006;,UNKNOWN,856017.0,129583.0
2,VCS_3940,Lianzhou Landfill Gas Power Generation Project,China,ACM0001;,UNKNOWN,82464.0,24166.0
3,VCS_3937,"Improved Cook Stove Project 1, Nkhata Bay District, Malawi - CER Conversion",Malawi,AMS-IIG;,UNKNOWN,32672.0,500.0
4,VCS_3898,Guizhou Jinsha CMM Power Generation Project,China,ACM0008;,UNKNOWN,1008410.0,432737.0
5,VCS_3901,Anhua LFG Power Generation Project,China,ACM0001;,UNKNOWN,194784.0,104950.0
6,VCS_3889,Household Biogas Project in Madhya Pradesh & Jharkhand,India,AMS-IE;,UNKNOWN,60308.0,30821.0
7,VCS_3820,"Distribution of Improved Cookstove in Quang Nam Province, Vietnam",Viet Nam,VMR0006;,UNKNOWN,161687.0,19932.0
8,VCS_3814,Chestnut Carbon Conservation Project,United States of America,VM0003;,UNKNOWN,442624.0,1864.0
9,VCS_3788,Foumbouni-Mitsamiouli solar farm,Comoros,AMS-ID;,UNKNOWN,19020.0,4702.0
10,VCS_3767,MicroEnergy Credits – Microfinance for Solar Lamps in Kenya,Kenya,AMS-IIIAR;,UNKNOWN,114914.0,56007.0
11,VCS_3769,SMG - Cookstove Program 1,India,VMR0006;,UNKNOWN,166372.0,47369.0
12,VCS_3696,Chongqing Tongliang LFG Power Generation Project,China,ACM0001;,UNKNOWN,101458.0,124945.0
13,VCS_3688,Shandong Xiantan Composting Project,China,AMS-IIID; AMS-IIIF;,UNKNOWN,110586.0,84886.0
14,VCS_3662,15 MW Nam Hinboun Downstream Hydropower Project,Lao People's Democratic Republic,AMS-ID;,UNKNOWN,159480.0,57284.0
15,VCS_3657,Grouped Commercial Vehicle EV Project in India,India,AMS-IF; AMS-IIIC;,UNKNOWN,7052.0,65.0
16,VCS_3649,Tianjin Dahanzhuang LFG Power Generation Project I,China,ACM0001;,UNKNOWN,248730.0,115878.0
17,VCS_3616,Recycling Roadways for Carbon Emission Reductions - Midstate Reclamation and Trucking,United States of America,VM0039;,UNKNOWN,75767.0,28915.0
18,VCS_3613,Solar Power Project by SOMA Energy,Cambodia,AMS-ID;,UNKNOWN,15339.0,6550.0
19,VCS_3603,Jiangsu Lisaike PET Recycling Project,China,AMS-IIIAJ;,UNKNOWN,118554.0,94109.0
20,VCS_3545,"50 MW (AC) SOLAR PARK AT SUTIAKHALI, GOURIPUR, MYMENSINGH",Bangladesh,ACM0002;,UNKNOWN,165906.0,99987.0
21,VCS_3448,LANDFILL GAS COLLECTION AND UTILIZATION AT THE MARCA CARIACICA – II LANDFILL,Brazil,ACM0001;,UNKNOWN,1640636.0,354124.0
22,VCS_3393,Hubei Jiulong PET Recycling Project,China,AMS-IIIAJ;,UNKNOWN,116184.0,38091.0
23,VCS_3371,"Up Energy Improved Cookstoves Programme, Uganda - CER Conversion",Uganda,AMS-IIG;,UNKNOWN,44874.0,63908.0
24,VCS_3350,THE ARR HORIZONTE CARBON PROJECT,Brazil,AR-ACM0003;,UNKNOWN,173990.0,279168.0
25,VCS_3298,Blitta – Togo Solar Power Plant,Togo,ACM0002;,UNKNOWN,122652.0,70969.0
26,VCS_3279,IDCOL Improved Cook Stove Program - CER Conversion,Bangladesh,AMS-IIG;,UNKNOWN,1278597.0,456395.0
27,VCS_3262,Livelihoods Chitetezo Mbaula Project,Malawi,VMR0006;,UNKNOWN,262431.0,100959.0
28,VCS_3245,DISTRIBUTION OF HOUSEHOLD BIOGAS IN RURAL AREAS OF INDIA-2,India,AMS-IE;,UNKNOWN,70694.0,52014.0
29,VCS_3207,CO2 UTILIZATION IN CONCRETE - Removals & Reductions - CarbonCure - U.S. Project #1,United States of America,VM0043;,UNKNOWN,128108.0,36270.0
30,VCS_3158,Distribution of energy efficient cookstoves in India-2,India,VMR0006;,UNKNOWN,402304.0,243104.0
31,VCS_3160,Distribution of energy efficient cookstoves in India-4,India,VMR0006;,UNKNOWN,340634.0,99737.0
32,VCS_3161,Displacement of firewood by household biogas stoves in India,India,AMS-IE;,UNKNOWN,205636.0,127034.0
33,VCS_3154,"Household Biogas Project in Uttarakhand, India",India,AMS-IE;,UNKNOWN,161019.0,80947.0
34,VCS_3128,Luyi Biogas Recovery and Utilization Project,China,ACM0010;,UNKNOWN,228849.0,133676.0
35,VCS_3099,Spectra Solar Park Ltd _35 MW AC Grid-Tied by Spectra Solar Park Limited,Bangladesh,ACM0002;,UNKNOWN,74084.0,33223.0
36,VCS_3109,Biomass Cookstove Project in Jharkhand,India,VMR0006;,UNKNOWN,41871.0,7659.0
37,VCS_3094,REDUCING CARBON EMISSIONS ON I-64 CAPACITY IMPROVEMENT PROJECT WITH THE USE OF FSB AND EMULSION ASPHALT MIXTURES,United States of America,VM0039;,UNKNOWN,117536.0,17790.0
38,VCS_3063,Pengmai Composting Project in Fangcheng County,China,AMS-IIID; AMS-IIIF;,UNKNOWN,172275.0,95492.0
39,VCS_3059,"Replacement of ICLs with LED lamps in Gujarat, India",India,AMS-IIC;,UNKNOWN,107598.0,40938.0
40,VCS_3056,Brascarbon Methane Recovery Project BCA-BRA-17,Brazil,AMS-IIID;,UNKNOWN,111120.0,55244.0
41,VCS_3047,Nanyang Dongjia Composting Project in Fangcheng County,China,AMS-IIID; AMS-IIIF;,UNKNOWN,176436.0,103818.0
42,VCS_3025,CSD Wastewater Treatment Plant Project in Hebei Province,China,AM0080;,UNKNOWN,234286.0,161533.0
43,VCS_3020,Dongyang Wastewater Treatment Plant Project,China,AM0080;,UNKNOWN,193644.0,112638.0
44,VCS_3018,BigCoast Forest Climate Initiative,Canada,VM0012;,UNKNOWN,2863336.0,1394513.0
45,VCS_3010,Macaúbas Landfill Gas Project - CER Conversion,Brazil,ACM0001;,UNKNOWN,102583.0,501525.0
46,VCS_3006,Taiqian County MSW Landfill Site LFG Comprehensive Utilization Project,China,AMS-ID; AMS-IIIG;,UNKNOWN,43296.0,7149.0
47,VCS_3005,Tongxu Biogas Recovery and Utilization Project,China,ACM0010;,UNKNOWN,272268.0,219206.0
48,VCS_2998,Brascarbon Methane Recovery Project BCA-BRA-16,Brazil,AMS-IIID;,UNKNOWN,55356.0,55246.0
