"Project ID","Compliance Program ID (ARB or Ecology)","Project Developer","Project Name","Project Type","Project Methodology/Protocol","Initial Crediting Period Start Date","Current Crediting Period Start Date","Current Crediting Period End Date","Voluntary Status","Compliance Program Status (ARB or Ecology)","Project Status Date","Project Site Location","Project Site State","Project Site Country","Sustainable Development Goal(s)","Current VVB","ACR Project Validation","Total Number of Credits Registered ","Documents","Project Website",
"ACR586","N/A","The Climate Trust","18 Reserves Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","01/15/2020","01/15/2020","01/14/2040","Registered","Not ARB or Ecology Eligible","01/21/2022","Near Cleveland","OHIO","US","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","SCS Global Services (Scientific Certification Systems)","Aster Global Environmental Solutions","550369","View","",
"ACR206","CAOD5052","EOS Climate Inc","2014-P4","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","04/14/2014","04/14/2014","04/13/2024","N/A","ARB Completed","01/27/2020","El Dorado","ARKANSAS","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","NSF International Strategic Registrations (NSF-ISR)","N/A","71825","View","www.eosclimate.com",
"ACR203","","EOS Climate Inc","2014-P5","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","03/02/2014","03/02/2014","03/01/2024","N/A","ARB Inactive","01/27/2020","El Dorado","ARKANSAS","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","N/A","","View","www.eosclimate.com",
"ACR521","CAOD5521","A-Gas US Inc.","A-Gas 1-2020","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","10/09/2019","10/09/2019","10/08/2029","N/A","ARB Completed","01/05/2024","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","N/A","62007","View","www.agasamericas.com",
"ACR1042","CAOD1042","A-Gas US Inc.","A-Gas 1-2024","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","03/20/2024","03/20/2024","03/19/2034","N/A","ARB Completed","12/15/2025","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","Dillon Consulting Limited","N/A","92278","View","https://www.agas.com/",
"ACR1185","ECYOD1185","A-Gas US Inc.","A-Gas 1-2025","Ozone Depleting Substances","ECY Compliance Offset Protocol: Ozone Depleting Substances Projects","12/09/2024","12/09/2024","12/08/2034","N/A","Listed - Active Ecology Project","06/20/2025","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","","85847","View","www.agas.com",
"ACR522","CAOD5522","A-Gas US Inc.","A-Gas 2-2020","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","12/11/2019","12/11/2019","12/10/2029","N/A","ARB Completed","01/05/2024","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","N/A","94565","View","www.agasamericas.com",
"ACR902","ECYOD902","A-Gas US Inc.","A-Gas 2-2023","Ozone Depleting Substances","ECY Compliance Offset Protocol: Ozone Depleting Substances Projects","02/07/2023","02/07/2023","02/06/2033","N/A","Ecology Completed","06/07/2024","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","TÜV SÜD America, Inc.","","109180","View","www.agasamericas.com",
"ACR1113","ECYOD1113","A-Gas US Inc.","A-Gas 2-2024","Ozone Depleting Substances","ECY Compliance Offset Protocol: Ozone Depleting Substances Projects","08/13/2024","08/13/2024","08/12/2034","N/A","Ecology Completed","04/23/2026","Bowling Green","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","Dillon Consulting Limited","","85269","View","www.agasamericas.com",
"ACR443","CAOD5443","A-Gas US Inc.","A-Gas 2019-3","Ozone Depleting Substances","ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks","11/27/2018","11/27/2018","11/26/2028","N/A","ARB Completed","01/05/2024","Wood County, Bowling Green, Ohio","OHIO","US","09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.","N/A","114871","View","www.agasamericas.com",
