"Project ID","Compliance Program ID","Cooperative/ Aggregate ID","Project Developer","Project Owner","Project Name","Offset Project Operator","Authorized Project Designee","Verification Body","Project Type","Status","Compliance Program Status","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","SDG Impact","Project Notes","Total Number of Offset Credits Registered ","Project Listed Date","Project Registered Date","Documents","Data","Project Website",
"CAR1957","CAFR6957","","Sierra Pacific Industries","Sierra Pacific Industries","2021 Fire Refo","Sierra Pacific Industries","None","","Reforestation - ARB Compliance","Listed","Proposed Project","Shasta, Siskiyou, and Trinity Counties","CALIFORNIA","US","","","","","04/05/2024","","View","View","",
"CAR1460","N/A","","The Climate Trust","The Nature Conservancy","54 Ranch","","","","Avoided Grassland Conversion","Completed","Not ARB or WA ECO Eligible","Mussellshell County, Montana","MONTANA","US","","","","","01/05/2021","","View","View","",
"CAR1458","CAOD6458","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 1-2021","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","84267","11/20/2020","01/28/2021","View","View","www.agasamericas.com",
"CAR1560","CAOD6560","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 1-2022","A-Gas US Inc","None","GHD Services, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","59147","02/17/2022","05/27/2022","View","View","www.agasamericas.com",
"CAR1662","CAOD6662","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 1-2023","A-Gas US Inc","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","70833","10/11/2022","04/20/2023","View","View","www.agasamericas.com",
"CAR2278","ECYOD2278","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 1-2026","A-Gas US Inc.","None","","Ozone Depleting Substances - U.S. - WA ECO Compliance","Registered","Proposed Project","Bowling Green","OHIO","US","","","","126429","01/30/2026","05/08/2026","View","View","www.agas.com",
"CAR1481","CAOD6481","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2-2021","Reclamation Technologies, Inc., dba A-Gas","None","GHD Services, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","56964","03/16/2021","06/09/2021","View","View","www.agasamericas.com",
"CAR1578","CAOD6578","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2-2022","A-Gas US Inc","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","102599","04/14/2022","07/29/2022","View","View","www.agasamericas.com",
"CAR2251","ECYOD2251","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2-2025","A-Gas US Inc.","None","","Ozone Depleting Substances - U.S. - WA ECO Compliance","Registered","Active Registry Project","Bowling Green","OHIO","US","","","","78861","11/11/2025","02/02/2026","View","View","www.agas.com",
"CAR2297","ECYOD2297","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2-2026","A-Gas US Inc.","None","","Ozone Depleting Substances - U.S. - WA ECO Compliance","Listed","Proposed Project","Bowling Green","OHIO","US","","","","","05/12/2026","","View","View","www.agas.com",
"CAR1295","CAOD5389","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-3","Reclamation Technologies, Inc. dba A-Gas","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","97831","01/31/2018","05/05/2018","View","View","www.agasamericas.com",
"CAR1296","CAOD5405","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-4","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","110290","02/10/2018","07/18/2018","View","View","www.agasamericas.com",
"CAR1303","CAOD6303","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-5","Reclamation Technologies, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green, Wood County","OHIO","US","","","","102700","06/28/2018","08/17/2018","View","View","",
"CAR1305","CAOD6305","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-7","Reclamation Technologies Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green, Wood County","OHIO","US","","","","159218","06/28/2018","09/07/2018","View","View","",
"CAR1311","CAOD6311","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-8","Reclamation Technologies, Inc. dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green","OHIO","US","","","","128012","06/08/2018","10/31/2018","View","View","www.agasamericas.com",
"CAR1312","CAOD6312","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2018-9","Reclamation Technologies, Inc. dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green","OHIO","US","","","","93703","06/08/2018","10/31/2018","View","View","www.agasamericas.com",
"CAR1318","CAOD6318","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2019-1","A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","138241","09/20/2018","03/25/2019","View","View","www.agasamericas.com",
"CAR1323","CAOD6323","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 2019-4","A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Inactive","Wood County, Bowling Green, Ohio","OHIO","US","","","","","10/16/2018","","View","View","www.agasamericas.com",
"CAR1493","CAOD6493","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 3-2021","Reclamation Technologies, Inc., dba A-Gas","None","GHD Services, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","","Wood County, Bowling Green, Ohio","OHIO","US","","","","70708","06/18/2021","09/08/2021","View","View","www.agasamericas.com",
"CAR1413","CAOD6413","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 4-2020","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active Registry Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","87667","05/06/2020","08/20/2020","View","View","www.agasamericas.com",
"CAR1498","CAOD6498","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 4-2021","Reclamation Technologies, Inc., dba A-Gas","None","GHD Services, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","60731","06/30/2021","01/21/2022","View","View","www.agasamericas.com",
"CAR1441","CAOD6441","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas 5-2020","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","78211","07/15/2020","11/07/2020","View","View","www.agasamericas.com",
"CAR1171","CAOD5185","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS Americas 2015-1","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","134418","05/15/2015","10/05/2015","View","View","",
"CAR1236","CAOD5336","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2016-2","Reclamation Technologies, Inc. (dba A-Gas Americas, Inc.)","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","181191","06/01/2016","08/23/2016","View","View","www.agasamericas.com",
"CAR1249","CAOD5298","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-1","Reclamation Technologies, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","141207","12/15/2016","03/09/2017","View","View","www.agas.com",
"CAR1252","CAOD5318","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-2","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","140916","02/14/2017","05/04/2017","View","View","www.agasamericas.com",
"CAR1254","CAOD5320","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-3","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Bowling Green","OHIO","US","","","","140709","03/04/2017","06/02/2017","View","View","www.agasamericas.com",
"CAR1263","CAOD5344","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-4","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","122129","05/16/2017","08/02/2017","View","View","www.agasamericas.com",
"CAR1268","CAOD5368","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-6","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","55404","07/26/2017","09/22/2017","View","View","www.agasamericas.com",
"CAR1270","CAOD5362","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2017-8","Reclamation Technologies, Inc. dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","223464","07/26/2017","10/27/2017","View","View","www.agasamericas.com",
"CAR1286","CAOD5326","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2018-1","Reclamation Technologies, Inc dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Bowling Green","OHIO","US","","","","154972","11/10/2017","02/06/2018","View","View","www.agasamericas.com",
"CAR1290","CAOD5380","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas Americas 2018-2","Reclamation Technologies, Inc dba A-Gas Americas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Active ARB Project","Bowling Green","OHIO","US","","","","119844","12/15/2017","02/20/2018","View","View","www.agasamericas.com",
"CAR1240","CAOD5340","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas O'Hare","Reclamation Technologies, Inc. (dba A-Gas Americas, Inc.)","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","111348","09/26/2016","12/06/2016","View","View","www.agasamericas.com",
