"Program","Project ID","Project Name","Proponents","Authorized Representative Organization Name","Sectoral Scope","PUBLIC_VIEW_REPORTS_PROJECTS.pubReportsProjectsList.AFOLUActivities","Methodology","Estimated Average Annual Emission Reductions and Carbon Dioxide Removals","Sustainable Development Contributions","Validator","Region","Country","State/Province","Estimated Project Start Date","Crediting Period Duration Start Date","Crediting Period Duration End Date","Crediting Period Term","Project Registration Date","Status"
"Verified Carbon Standard","2240","","Southern Power Company (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","0","","","","United States of America","AL","01 Jan 2020","","","","","Withdrawn"
"Verified Carbon Standard","397","0.6 MW Wind Power Generation project of Dodhia Synthetics Limited","Dodhia Synthetics Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","906","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Maharashtra","30 Sep 2006","30 Sep 2006","29 Sep 2016","1","23 Apr 2010","Late to Verify"
"Verified Carbon Standard","723","0.7 MW Wind Power Generation Project of BLA Coke Private Limited","BLA COKE PRIVATE LIMITED (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","1035","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Jamnagar and Gujarat","30 Mar 2005","28 Mar 2006","27 Mar 2016","1","10 Dec 2011","Late to Verify"
"Verified Carbon Standard","998","01 million Compact Fluorescent Lamps (EVN-2010) Project in Vietnam","Vietnam Electricity (EVN)","","Energy demand","","AMS-II.J. (Version NA)","20258","","China Quality Certification Center (CQC)","Asia","Viet Nam","South-Western and South-Eastern provinces","31 Mar 2011","01 Jul 2012","30 Jun 2022","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1452","1 MW biomass gasifier based power generation project by Chanderpur Renewal Power Co. Pvt. Ltd.","Chanderpur Renewal Power CO. Pvt. Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version 18)","6463","","Earthood Services Limited","Asia","India","Ambala District of Haryana State","26 May 2014","26 May 2021","25 May 2028","2","09 Sep 2015","Late to Verify"
"Verified Carbon Standard","841","1 MW Grid Interactive Solar PV Power Generation Project of MSPGCL","Maharashtra State Power Generation Company Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","1370","","TUV Rheinland (China) Ltd.","Asia","India","Maharashtra","09 Apr 2010","09 Apr 2010","08 Apr 2020","1","09 Mar 2012","Late to Verify"
"Verified Carbon Standard","531","1 MW Jiwa Small Hydel Project in Kullu, Himachal Pradesh","Chevron Hydel (Pvt.) Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","4484","","TÜV NORD CERT GmbH","Asia","India","Himachal Pradesh","23 Dec 2006","04 Jan 2007","03 Jan 2017","1","06 Apr 2020","Registered"
"Verified Carbon Standard","389","1.2 MW World Institute of Sustainable Energy Wind Farm in Karnataka","World Institute of Sustainable Energy","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","2595","","TÜV NORD CERT GmbH","Asia","India","Karnataka","05 Nov 2004","01 Apr 2006","31 Mar 2016","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","270","1.25 MW Wind Power Generation project of EIIL","Ensemble Infrastructure India Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","2557","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Karnataka","25 Mar 2006","28 Mar 2006","27 Mar 2016","1","06 Jan 2010","Late to Verify"
"Verified Carbon Standard","271","1.25 MW Wind Power Generation project of Euro Vistaa (India) Limited","Euro Vistaa (India) Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","1848","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Maharashtra","25 Mar 2006","28 Mar 2006","27 Mar 2016","1","06 Jan 2010","Late to Verify"
"Verified Carbon Standard","248","1.25 MW Wind Power Project by M/s. Garden Court Distilleries Pvt. Ltd. at Sangli, Maharashtra, India","M/s. Garden Court Distilleries Pvt. Ltd. (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","1984","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Maharashtra","14 Feb 2006","31 Mar 2016","30 Mar 2026","1","16 Dec 2009","Late to Verify"
"Verified Carbon Standard","550","1.5 MW Rice Husk Based Cogeneration Project at Rajaram Maize Products, Mohad, Dist. Rajnandgaon (CG), India","Rajaram maize Products (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.C. (Version NA)","20000","","TÜV NORD CERT GmbH","Asia","India","Chhattisgarh","01 May 2003","01 May 2003","30 Apr 2013","1","01 Nov 2010","Late to Verify"
"Verified Carbon Standard","784","1.6 MW Bundled Rice Husk Based Cogeneration Plant by M/s Milk food Limited (MFL) in Patiala (Punjab) & Moradabad (U.P) Districts","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.C. (Version NA), AMS-I.D. (Version NA)","65258","","TÜV NORD CERT GmbH","Asia","India","Punjab","06 May 2009","06 May 2009","05 May 2019","1","06 Apr 2020","Verification approval requested"
"Verified Carbon Standard","1979","10 MW biomass based power generation project at Wani, Yavatmal by Shalivahana Projects Limited","Shalivahana Green Energy Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","48132","","","Asia","India","Maharashtra","17 Jan 2008","01 Sep 2012","31 Aug 2022","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","801","10 MW Biomass Based Power Generation Project by Rake Power Limited at Ramtek, Nagpur","Rake Power Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","40244","","Det Norske Veritas Climate Change Services AS (DNV)","Asia","India","State: Maharashtra, District: Nagpur","15 Feb 2009","15 Feb 2011","14 Feb 2021","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","129","10 MW biomass based power project of Ind Power Limited.","Ind Power Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","34129","","SGS United Kingdom Ltd. (SGS)","Asia","India","Chhattisgarh","07 Sep 2004","01 Oct 2007","30 Sep 2017","1","24 Sep 2009","Late to Verify"
"Verified Carbon Standard","310","10 MW Bundled Wind Power Project by Era Infra Engineering Limited","ERA INFRA ENGINEERING LTD (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","14630","","TÜV NORD CERT GmbH","Asia","India","Maharashtra & Gujarat","30 Sep 2006","30 Sep 2016","29 Sep 2026","2","08 Feb 2010","Late to Verify"
"Verified Carbon Standard","224","10 MW Grouped Wind Power Project in Maharashtra State, India","M/s Nagreeka Foils Limited (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","15872","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Maharastra","20 Sep 2005","01 Apr 2016","31 Mar 2026","2","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1822","10 MW wind power project by Powerica at BDS - Gujarat","POWERICA LIMITED (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version 18)","24816","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","Gujarat","04 Feb 2017","04 Feb 2017","03 Feb 2027","1","17 Oct 2019","Registered"
"Verified Carbon Standard","566","10 MW Wind Power Project in Maharashtra by Deepak Fertilizers and Petrochemicals Corporation Limited","Deepak Fertilisers and Petrochemical Corp. Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","14313","","SGS United Kingdom Ltd. (SGS)","Asia","India","State - Maharashtra","24 Apr 2007","24 Apr 2007","23 Apr 2017","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1212","10 MWp Grid Interactive Solar Power Project in Gujarat Solar Park, India","M/s. Emami Cement Limited.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","14958","","TUV Rheinland (China) Ltd.","Asia","India","State: Gujarat, District: Patan","04 Mar 2012","01 Dec 2019","30 Nov 2026","2","","Under validation (Public comment period closed)"
"Verified Carbon Standard","858","10.2 MW Grid Connected Wind Energy Project in Gujarat, India","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","15000","","TÜV NORD CERT GmbH","Asia","India","Gujarat","30 Jun 2007","01 Jul 2017","30 Jun 2027","2","12 Jul 2012","Late to Verify"
"Verified Carbon Standard","750","10.2 MW Wind Power Project by Ruchi Infrastructure Limited","Ruchi Infrastructure Limited","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","20031","","TÜV NORD CERT GmbH","Asia","India","Madhya Pradesh","31 Jan 2008","31 Jan 2008","30 Jan 2018","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","5851","10.2MW Nam Yeim Hydro Power Project","SINGAPORE TREASURE CARBON TECH PTE. LTD.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","22841","","","","Lao People's Democratic Republic","","01 Mar 2026","01 Mar 2026","29 Feb 2036","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","800","10.30 MW Grouped Wind Power Project in India.","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","16666","","Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)","Asia","India","Maharashtra, Gujarat, Tamil Nadu, & Rajasthan","30 Mar 2003","01 Apr 2016","31 Mar 2026","2","20 Mar 2012","Late to Verify"
"Verified Carbon Standard","1110","10.5 MW wind mill project of ICF in the state of Tamil Nadu","Integral Coach Factory (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","24009","","TÜV NORD CERT GmbH","Asia","India","District: Tirunelvelli, State: Tamilnadu","23 Mar 2009","01 Jan 2018","31 Dec 2024","2","24 Jul 2013","Late to Verify"
"Verified Carbon Standard","1486","10.9 MW Bundled Solar Power Project","Infinite Solutions (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version 18)","17567","","EPIC Sustainability Services Private Limited","Asia","India","Madhya Pradesh, Maharashtra, Tamil Nadu","25 Sep 2013","25 Sep 2013","24 Sep 2023","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1985","100 MW Bundled Wind Power Project in Anantapuram, Andhra Pradesh","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 19)","192849","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","India","Andhra Pradesh","22 Mar 2018","22 Mar 2018","21 Mar 2028","1","07 Feb 2020","Registered"
"Verified Carbon Standard","2019","100 MW grid connected Wind Power project in Jamnagar Gujarat, India","Verdant Renewables Private Limited (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","363796","","Earthood Services Limited","Asia","India","Gujarat","21 Jun 2019","21 Jun 2019","20 Jun 2029","1","03 Nov 2022","Registered"
